City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
143,Dingle,PH,2021-03-20 20:26:58,10.9995,122.6711,77.07,87,0,7.61
144,Wenatchee,US,2021-03-20 20:26:58,47.4235,-120.3103,54.0,40,1,3.44
145,Port-Cartier,CA,2021-03-20 20:26:59,50.0334,-66.8654,32.0,59,20,6.91
146,Luderitz,NA,2021-03-20 20:26:59,-26.6481,15.1594,67.17,68,0,26.84
147,Oussouye,SN,2021-03-20 20:26:59,12.485,-16.5469,77.0,78,0,9.22
148,Belaya Gora,RU,2021-03-20 20:26:59,68.5333,146.4167,-17.0,90,0,2.71
149,Dikson,RU,2021-03-20 20:27:00,73.5069,80.5464,-23.87,85,9,19.75
150,Bone,DE,2021-03-20 20:27:00,51.9669,12.1396,37.0,65,100,5.01
151,Vostok,RU,2021-03-20 20:27:00,46.4856,135.8833,18.57,93,97,4.92
152,Nizwa,OM,2021-03-20 20:27:01,22.9333,57.5333,74.91,24,0,3.94
153,Buluang,PH,2021-03-20 20:27:01,13.3068,123.3425,75.24,94,86,3.53
154,Puerto Ayora,EC,2021-03-20 20:27:01,-0.7393,-90.3518,86.0,70,20,11.5
155,Panaba,MX,2021-03-20 20:27:02,21.2833,-88.2667,81.16,44,0,13.78
156,Sakakah,SA,2021-03-20 20:27:02,29.9697,40.2064,68.0,22,0,5.75
157,Alta Gracia,AR,2021-03-20 20:27:02,-31.6529,-64.4283,75.0,60,76,14.0
158,Bethel,US,2021-03-20 20:27:03,41.3712,-73.414,57.2,19,1,6.91
159,Deniliquin,AU,2021-03-20 20:27:03,-35.5333,144.9667,62.01,92,100,3.0
160,Te Anau,NZ,2021-03-20 20:27:03,-45.4167,167.7167,49.87,90,86,1.01
161,Biak,ID,2021-03-20 20:27:04,-0.9131,122.8766,77.2,76,100,2.3
162,Chuy,UY,2021-03-20 20:27:04,-33.6971,-53.4616,81.32,65,46,13.02
163,Suntar,RU,2021-03-20 20:27:04,62.1444,117.6319,-10.95,89,78,8.63
164,Nioro,GM,2021-03-20 20:27:05,13.35,-15.75,80.71,32,57,11.65
165,Iwanai,JP,2021-03-20 20:27:05,42.9744,140.5089,30.81,90,100,8.14
166,Talnakh,RU,2021-03-20 20:27:05,69.4865,88.3972,-23.01,68,0,8.75
167,Rio Gallegos,AR,2021-03-20 20:26:59,-51.6226,-69.2181,57.2,30,0,36.82
168,Viedma,AR,2021-03-20 20:27:06,-40.8135,-62.9967,72.12,28,2,17.02
169,Evensk,RU,2021-03-20 20:27:06,61.95,159.2333,-12.01,57,0,1.41
170,Komsomolskiy,UZ,2021-03-20 20:27:07,40.4272,71.7189,51.8,82,90,2.3
171,Lompoc,US,2021-03-20 20:27:07,34.6391,-120.4579,60.8,51,1,13.8
172,Matara,LK,2021-03-20 20:27:07,5.9485,80.5353,77.31,84,91,2.66
173,Warrington,GB,2021-03-20 20:27:07,53.3925,-2.5802,48.2,93,90,12.66
174,Husavik,IS,2021-03-20 20:27:08,66.0449,-17.3389,39.2,70,90,21.85
175,Ahualulco,MX,2021-03-20 20:27:08,22.4,-101.1667,68.0,34,20,8.05
176,Popondetta,PG,2021-03-20 20:27:09,-8.7537,148.2534,73.83,92,82,3.02
177,Coquimbo,CL,2021-03-20 20:22:17,-29.9533,-71.3436,68.0,56,0,16.11
178,Mandalgovi,MN,2021-03-20 20:27:09,45.7625,106.2708,17.82,43,46,11.07
179,Varhaug,NO,2021-03-20 20:27:09,58.6147,5.6457,43.0,98,100,4.0
180,Padang,ID,2021-03-20 20:24:07,-0.9492,100.3543,75.2,94,90,3.44
181,Batemans Bay,AU,2021-03-20 20:27:09,-35.7167,150.1833,70.0,86,100,1.99
182,Raglan,NZ,2021-03-20 20:27:10,-37.8,174.8833,54.75,68,0,4.27
183,Longyearbyen,SJ,2021-03-20 20:27:10,78.2186,15.6401,14.0,67,40,11.5
184,Aden,YE,2021-03-20 20:27:11,12.7794,45.0367,78.4,65,0,8.5
185,Kudahuvadhoo,MV,2021-03-20 20:27:11,2.6708,72.8944,82.38,69,100,4.38
186,Teya,RU,2021-03-20 20:27:11,60.3778,92.6267,19.36,95,100,4.16
187,Nhulunbuy,AU,2021-03-20 20:27:11,-12.2333,136.7667,80.6,83,75,4.61
188,Pevek,RU,2021-03-20 20:27:12,69.7008,170.3133,-25.58,99,40,2.01
189,Salalah,OM,2021-03-20 20:27:12,17.0151,54.0924,78.8,73,0,3.44
190,Quelimane,MZ,2021-03-20 20:27:12,-17.8786,36.8883,80.6,83,20,2.3
191,Laguna,US,2021-03-20 20:27:12,38.421,-121.4238,61.0,51,40,9.22
192,Idlib,SY,2021-03-20 20:27:13,35.9306,36.6339,51.8,76,0,3.44
193,Fortuna,US,2021-03-20 20:27:13,40.5982,-124.1573,54.0,87,75,6.76
194,Severo-Kurilsk,RU,2021-03-20 20:27:13,50.6789,156.125,23.23,84,86,21.09
195,Bluff,NZ,2021-03-20 20:27:14,-46.6,168.3333,54.0,96,81,1.01
196,Mar Del Plata,AR,2021-03-20 20:26:05,-38.0023,-57.5575,68.0,77,75,6.91
197,Yellowknife,CA,2021-03-20 20:27:14,62.456,-114.3525,10.4,67,75,18.41
198,Axim,GH,2021-03-20 20:27:14,4.8699,-2.2405,80.71,79,0,6.38
199,Vestmannaeyjar,IS,2021-03-20 20:27:15,63.4427,-20.2734,43.11,76,100,21.27
200,Aykhal,RU,2021-03-20 20:27:15,66.0,111.5,-30.64,95,100,38.63
201,Zarand,IR,2021-03-20 20:27:15,30.8127,56.564,54.7,22,0,5.82
202,Khromtau,KZ,2021-03-20 20:27:15,50.2503,58.4347,21.18,93,99,13.24
203,The Valley,AI,2021-03-20 20:26:17,18.217,-63.0578,80.6,65,20,16.11
204,Arman,RU,2021-03-20 20:27:16,59.7,150.1667,-0.6,76,34,3.15
205,Kropotkin,RU,2021-03-20 20:27:16,45.4375,40.5756,36.0,84,100,7.54
206,Keuruu,FI,2021-03-20 20:27:17,62.2667,24.7,37.4,87,90,14.97
207,Klaksvik,FO,2021-03-20 20:27:17,62.2266,-6.589,41.0,75,75,10.36
208,Sola,VU,2021-03-20 20:27:18,-13.8833,167.55,80.71,77,100,14.88
209,Sambava,MG,2021-03-20 20:27:18,-14.2667,50.1667,77.9,85,100,10.58
210,Westport,US,2021-03-20 20:27:18,41.1415,-73.3579,55.99,35,1,12.66
211,Simbahan,PH,2021-03-20 20:27:19,6.3032,120.5836,82.67,76,87,4.85
212,Arraial Do Cabo,BR,2021-03-20 20:27:19,-22.9661,-42.0278,84.2,78,0,17.27
213,Veraval,IN,2021-03-20 20:27:19,20.9,70.3667,76.24,64,0,9.44
214,Hami,CN,2021-03-20 20:27:19,42.8,93.45,35.17,16,0,4.99
215,Soure,BR,2021-03-20 20:23:15,-0.7167,-48.5233,80.46,76,9,4.68
216,Lahij,YE,2021-03-20 20:27:20,13.1667,44.5833,72.34,48,0,3.49
217,Jalalabad,AF,2021-03-20 20:27:20,34.4265,70.4515,66.58,61,100,3.27
218,Gao,ML,2021-03-20 20:27:21,16.6362,1.637,87.55,12,17,7.7
219,Skibbereen,IE,2021-03-20 20:27:21,51.55,-9.2667,50.0,87,75,11.5
220,Pangnirtung,CA,2021-03-20 20:27:21,66.1451,-65.7125,-11.2,64,1,1.39
221,New Norfolk,AU,2021-03-20 20:27:21,-42.7826,147.0587,59.0,67,75,6.91
222,Arvi,IN,2021-03-20 20:25:11,20.9833,78.2333,79.9,40,6,3.09
223,Damaturu,NG,2021-03-20 20:27:22,11.747,11.9608,86.4,35,57,4.18
224,Cap Malheureux,MU,2021-03-20 20:27:22,-19.9842,57.6142,80.01,83,2,8.01
225,Sur,OM,2021-03-20 20:27:23,22.5667,59.5289,83.5,38,0,8.28
226,Brownsville,US,2021-03-20 20:27:23,25.9018,-97.4975,73.99,35,1,10.42
227,Avarua,CK,2021-03-20 20:27:23,-21.2078,-159.775,82.4,83,75,12.66
228,Monte Gordo,PT,2021-03-20 20:27:23,37.1819,-7.4523,57.2,33,0,9.22
229,Ust-Omchug,RU,2021-03-20 20:27:24,61.15,149.6333,-13.52,90,12,0.54
230,Bud,US,2021-03-20 20:27:25,39.447,-86.1758,59.0,36,0,6.02
231,Bambous Virieux,MU,2021-03-20 20:27:25,-20.3428,57.7575,80.01,89,75,13.8
232,New Iberia,US,2021-03-20 20:27:25,30.0035,-91.8187,59.0,55,90,5.75
233,Kondagaon,IN,2021-03-20 20:27:25,19.6,81.6667,68.94,53,0,1.66
234,Lancaster,US,2021-03-20 20:22:41,40.2504,-76.2499,57.0,26,1,5.75
235,Hofn,IS,2021-03-20 20:27:26,64.2539,-15.2082,42.28,60,100,8.3
236,Tazovskiy,RU,2021-03-20 20:27:26,67.4667,78.7,-18.0,86,100,14.7
237,Necochea,AR,2021-03-20 20:27:27,-38.5473,-58.7368,69.01,69,90,8.01
238,Nishihara,JP,2021-03-20 20:27:27,26.1842,127.7558,69.8,88,90,12.66
239,Pisco,PE,2021-03-20 20:27:27,-13.7,-76.2167,78.8,57,0,21.85
240,Olafsvik,IS,2021-03-20 20:27:27,64.8945,-23.7142,40.55,90,100,29.33
241,Karratha,AU,2021-03-20 20:27:28,-20.7377,116.8463,74.37,61,0,14.85
242,Kaspiysk,RU,2021-03-20 20:27:28,42.8816,47.6392,39.2,87,56,4.47
243,Narsaq,GL,2021-03-20 20:27:28,60.9167,-46.05,32.0,93,90,1.14
244,Kaduqli,SD,2021-03-20 20:27:29,11.0167,29.7167,88.11,14,0,9.64
245,Ilulissat,GL,2021-03-20 20:27:29,69.2167,-51.1,19.4,63,20,4.61
246,Lauchhammer,DE,2021-03-20 20:27:30,51.5,13.8,34.0,67,98,5.01
247,Shumskiy,RU,2021-03-20 20:27:30,54.8318,99.1328,22.01,79,98,4.85
248,Rexburg,US,2021-03-20 20:26:03,43.826,-111.7897,37.0,93,90,8.05
249,Cesenatico,IT,2021-03-20 20:27:30,44.1999,12.3991,46.0,81,40,13.8
250,Bosaso,SO,2021-03-20 20:27:31,11.2842,49.1816,75.69,65,0,3.15
251,Sungaipenuh,ID,2021-03-20 20:27:31,-2.0833,101.3833,64.74,92,100,2.57
252,Sabha,LY,2021-03-20 20:27:31,27.0377,14.4283,71.44,18,0,3.2
253,Vardo,NO,2021-03-20 20:27:32,70.3705,31.1107,30.81,74,64,16.24
254,Gejiu,CN,2021-03-20 20:27:32,23.306,103.1635,55.98,93,95,4.07
255,Sao Joao Da Barra,BR,2021-03-20 20:27:32,-21.6403,-41.0511,84.2,65,0,16.11
256,Maragogi,BR,2021-03-20 20:27:33,-9.0122,-35.2225,79.93,76,0,10.85
257,Chengde,CN,2021-03-20 20:27:33,40.9725,117.9361,30.61,35,0,12.06
258,Quatre Cocos,MU,2021-03-20 20:27:34,-20.2078,57.7625,80.01,89,75,13.8
259,Katsuura,JP,2021-03-20 20:27:34,35.1333,140.3,63.0,84,100,3.0
260,Bubaque,GW,2021-03-20 20:27:34,11.2833,-15.8333,77.32,72,24,18.97
261,Gorontalo,ID,2021-03-20 20:27:35,0.5412,123.0595,74.39,92,69,3.11
262,Semirom,IR,2021-03-20 20:27:35,31.4167,51.5667,41.59,37,87,3.96
263,Pokhara,NP,2021-03-20 20:27:35,28.2333,83.9833,65.75,25,0,6.85
264,Pitimbu,BR,2021-03-20 20:27:36,-7.4706,-34.8086,82.4,74,20,13.8
265,Luba,GQ,2021-03-20 20:27:36,3.4568,8.5547,77.0,94,40,5.75
266,Mabama,TZ,2021-03-20 20:27:36,-5.1333,32.5333,69.8,73,40,4.23
267,Svetlogorsk,BY,2021-03-20 20:27:37,52.6333,29.7333,27.55,87,60,6.62
268,Emerald,AU,2021-03-20 20:27:37,-23.5333,148.1667,75.2,83,90,9.22
269,Stromness,GB,2021-03-20 20:27:38,58.965,-3.296,44.6,76,40,13.8
270,Semey,KZ,2021-03-20 20:27:38,50.4111,80.2275,32.0,74,40,24.61
271,Arlit,NE,2021-03-20 20:27:38,18.7369,7.3853,84.54,7,2,8.39
272,Vila Franca Do Campo,PT,2021-03-20 20:27:39,37.7167,-25.4333,59.0,72,75,9.22
273,Mangrol,IN,2021-03-20 20:27:39,21.1167,70.1167,75.97,66,0,10.04
