City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
146,Saint-Georges,GD,78.8,few clouds,12.0564,-61.7485,Siesta Hotel
148,Bambanglipuro,ID,76.19,overcast clouds,-7.95,110.2833,Puri Brata
153,Georgetown,MY,78.8,few clouds,5.4112,100.3354,Cititel Penang
160,Jacareacanga,BR,78.51,broken clouds,-6.2222,-57.7528,Casa do Ian😎
163,Kyabe,TD,82.27,overcast clouds,9.4515,18.9449,
168,Waingapu,ID,79.2,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
169,Yeppoon,AU,78.8,broken clouds,-23.1333,150.7333,Villa Mar Colina
173,Tabuleiro Do Norte,BR,78.91,scattered clouds,-5.2467,-38.1306,Hotel Central I
176,Vila Velha,BR,78.8,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
181,Gorontalo,ID,77.31,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
190,Hobyo,SO,78.82,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
191,Lazaro Cardenas,MX,83.46,clear sky,17.9583,-102.2,Hotel Quinta Antigua
192,Basco,PH,78.87,clear sky,20.4487,121.9702,Nathaniel's Lodge
194,Loandjili,CG,77.0,mist,-4.7561,11.8578,Résidence ARCHANGE
196,Aswan,EG,77.74,clear sky,24.0934,32.907,Nuba Nile
207,Fuerte Olimpo,PY,80.78,overcast clouds,-21.0415,-57.8738,Hospedaje DAMI
212,Victoria,HK,75.0,broken clouds,22.2855,114.1577,Mini Hotel Central
217,Bulolo,PG,79.88,scattered clouds,-7.2,146.65,Pine Lodge Bulolo
218,Cockburn Town,TC,77.0,few clouds,21.4612,-71.1419,Osprey Beach Hotel
219,Wajir,KE,80.47,light rain,1.7471,40.0573,Al-bustan Hotel And Restaurant.
224,Cidreira,BR,77.16,few clouds,-30.1811,-50.2056,Hotel Castelo
225,Sanchez,DO,78.8,few clouds,19.2281,-69.6137,Apartamentos Rincon La Roca
226,Kamalasai,TH,84.99,mist,16.3384,103.5756,กาฬสินธุ์ โฮมสเตย์
228,Luba,GQ,77.0,few clouds,3.4568,8.5547,
231,Dingle,PH,79.03,clear sky,10.9995,122.6711,SEGAYA PROPERTY
232,Tual,ID,83.7,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
237,Acarau,BR,78.28,broken clouds,-2.8856,-40.12,castelo pizzaria
238,Nanakuli,US,80.6,light rain,21.3906,-158.1547,Camp Pālehua
240,Axim,GH,80.2,scattered clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
247,Carutapera,BR,75.92,broken clouds,-1.195,-46.02,Lidera
248,Afareaitu,PF,87.8,few clouds,-17.55,-149.7833,Te Ora Hau Ecolodge
250,Andros Town,BS,77.0,scattered clouds,24.7,-77.7667,Hanks place
251,Garcia Hernandez,PH,80.92,overcast clouds,9.6144,124.2946,President Manuel Roxas Park and Campsite
253,Souillac,MU,78.8,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
257,Port Hedland,AU,75.2,broken clouds,-20.3167,118.5667,The Esplanade Hotel
259,Alyangula,AU,83.21,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
262,Iracoubo,GF,76.93,clear sky,5.4802,-53.2011,Le Gite D Iracoubo
